job_index,resume_index,similarity,label_0.7,label_0.71,label_0.72,label_0.73,label_0.74,label_0.75,label_0.76,label_0.77,label_0.78,label_0.79,label_0.8,label_0.81,label_0.82,label_0.83,label_0.84,label_0.85
0,81,0.7060551643371582,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,758,0.6668795943260193,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1105,0.6766765117645264,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1234,0.7116835713386536,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,431,0.7542645931243896,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
0,1366,0.6944124698638916,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,577,0.6929330825805664,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,12,0.7106032371520996,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,845,0.6805669665336609,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1460,0.6838356256484985,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,758,0.7621195316314697,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
1,856,0.7579655647277832,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
1,12,0.7894997596740723,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
1,81,0.7796623706817627,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
1,514,0.7937591075897217,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
1,1159,0.7300330996513367,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
1,2331,0.7744480967521667,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
1,1314,0.7737330794334412,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
1,431,0.7734743356704712,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
1,1442,0.7739759683609009,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
2,758,0.6842241883277893,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,81,0.7230625152587891,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1366,0.7365152835845947,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,431,0.7834950685501099,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
2,2331,0.6513643264770508,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,856,0.6665405035018921,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,12,0.7386910319328308,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,2413,0.712335467338562,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2,1234,0.7366794347763062,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
2,845,0.6914542317390442,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3,81,0.7653498649597168,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
3,758,0.7445412874221802,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
3,2099,0.7528272271156311,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
3,2087,0.7298039793968201,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,1277,0.7548088431358337,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
3,845,0.7605208158493042,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
3,431,0.7730692028999329,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
3,1129,0.7434470653533936,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
3,79,0.7896052598953247,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
3,1366,0.747447669506073,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
4,81,0.8399297595024109,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
4,758,0.7803460359573364,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
4,431,0.849904477596283,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
4,1366,0.8060745596885681,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
4,12,0.8545392751693726,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4,2413,0.8156732320785522,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
4,2331,0.7737013101577759,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
4,845,0.8012808561325073,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
4,856,0.7757805585861206,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
4,902,0.8279129266738892,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False
5,758,0.7646408677101135,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
5,81,0.7745261788368225,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
5,12,0.7870796322822571,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
5,199,0.7847118973731995,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
5,431,0.749309778213501,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
5,2087,0.7611594200134277,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
5,208,0.7640096545219421,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False
5,902,0.7752734422683716,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
5,1366,0.7431684136390686,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
5,171,0.781186044216156,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
6,81,0.7269627451896667,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,758,0.6801278591156006,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1935,0.7027568817138672,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,208,0.6828886866569519,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,12,0.7406070232391357,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
6,501,0.6745506525039673,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,171,0.7176347970962524,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,1045,0.7254389524459839,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
6,856,0.6601284742355347,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,431,0.7835376858711243,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
7,758,0.7481943368911743,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
7,81,0.8111528158187866,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
7,1366,0.7742496132850647,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False
7,431,0.8394755125045776,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
7,845,0.7534447908401489,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False
7,2331,0.7362796068191528,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
7,12,0.807200014591217,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
